job_title,level,tecnologies
['Data Scientist (Starszy Specjalista / Starsza Specjalistka)'],['starszy specjalista (Senior)'],"[['Python', 'PySpark', 'Keras/PyTorch', 'SQL', 'Databricks', 'Azure/GC/AWS', 'Docker', 'Kubernetes']]"
['Analityk Danych w Dziale Promocji'],['specjalista (Mid / Regular)'],[[]]
['Data Management Engineer in Risk Area'],['specialist (Mid / Regular)'],"[['SQL', 'Python', 'Oracle']]"
['DevOps Cloud Engineer'],['senior specialist (Senior)'],"[['Azure DevOps', 'Hadoop', 'Microsoft Azure', 'AWS', 'Google Cloud Platform', 'VMware', 'Docker', 'Java', 'Perl', 'PHP', 'Python', 'MySQL', 'Microsoft SQL Server', 'PostgreSQL', 'Github', 'GitLab', 'Ansible', 'Puppet', 'Salt']]"
['InÅ¼ynier Budowy'],['specjalista (Mid / Regular)'],[[]]
['Workday Extend Developer'],['specialist (Mid / Regular)'],"[['Java', 'Javascript', 'C#', 'Python']]"
['Senior Backend Engineer'],['senior specialist (Senior)'],"[['Node.js', 'AWS', 'DynamoDB', 'NoSQL', 'API Gateway', 'Git', 'SQL', 'TypeScript', 'Python', 'Flux']]"
['Data Scientist'],"['specjalista (Mid / Regular), starszy specjalista (Senior)']",[[]]
['Natural Language Processing Engineer in Artificial Intelligence Team'],['specialist (Mid / Regular)'],"[['AI', 'NLP', 'Python or Java or C++', 'Linux']]"
"['Principle DBA Engineer, Charles River Development, Vice President']",['senior specialist (Senior)'],"[['SQL', 'C#']]"
['Junior Data Analyst'],['junior specialist (Junior)'],"[['Python', 'SQL', 'Snowflake Data Cloud', 'Sigma', 'Microsoft Excel', 'GitHub', 'Postman', 'Insomnia']]"
['Middle Support Engineer'],['specialist (Mid / Regular)'],"[['AWS', 'JavaScript', 'Node.js', 'Express.js', 'Koa.js', 'SQL', 'NoSQL', 'Docker', 'React.js']]"
"['Principle DBA Engineer, Charles River Development, Vice President']",['senior specialist (Senior)'],"[['SQL', 'C#']]"
"['Senior Data Engineer (Python, Databricks)']",['senior specialist (Senior)'],"[['Python', 'Apache Spark', 'PySpark', 'AWS', 'BigQuery', 'GSheets', 'Salesforce', 'Jedox', 'Java']]"
['ETRM Solution Engineer'],['specialist (Mid / Regular)'],"[['SQL', 'C#', 'F#', 'Python']]"
['Data engineer / Data Platform engineer'],"['specjalista (Mid / Regular), mÅ\x82odszy specjalista (Junior)']","[['SQL', 'Teradata', 'PostgreSQL', 'Python', 'QGIS', 'Power BI', 'SAP ERP']]"
['CAMO Engineer - Engineering Support'],"['specialist (Mid / Regular), junior specialist (Junior)']",[[]]
['Java Developer - Digital Delivery & Logistic Squad'],['specjalista (Mid / Regular)'],"[['SAP', 'CRM', 'Spring', 'Spring Boot', 'Spring Data', 'Spring Security', 'Hibernate', 'MongoDB', 'PostgreSQL', 'Kubernetes', 'Docker', 'RabbitMQ', 'ActiveMQ', 'Kafka', 'Java']]"
['Data Analyst'],"['specjalista (Mid / Regular), mÅ\x82odszy specjalista (Junior)']",[[]]
['SAS Engineer'],['specialist (Mid / Regular)'],"[['SAS', 'Ansible', 'Git', 'Kubernetes']]"
['IT Operations Engineer for Marine systems - Internship'],['trainee'],[[]]
['Application Engineer (Sales Analytics Team)'],['specialist (Mid / Regular)'],"[['Docker', 'OpenShift', 'Terraform', 'Kubernetes', 'Google Cloud Platform', 'SQL', 'Jira', 'Confluence']]"
['Test Automation Engineer for Air Traffic Management (Senior)'],['senior specialist (Senior)'],[[]]
['Senior C# / .NET Developer'],['senior specialist (Senior)'],"[['.NET C#', '.NET Core', 'ASP.NET', 'Angular', 'ActiveMQ', 'RabbitMQ', 'NuGet', 'Jenkins', 'SVN', 'Git', 'Liquidbase', 'Ansible']]"
['Machine Learning Engineering Leader'],['manager / supervisor'],"[['Python', 'Airflow', 'AWS', 'TensorFlow', 'PyTorch']]"
['Product Cost Engineer (m/f/d)'],['specialist (Mid / Regular)'],[[]]
['Middle Support Engineer'],['specialist (Mid / Regular)'],"[['AWS', 'JavaScript', 'Node.js', 'Express.js', 'Koa.js', 'SQL', 'NoSQL', 'Docker', 'React.js']]"
