offer_id,tech_id
0,0
0,1
0,2
0,3
0,4
1,5
1,1
1,6
1,7
1,8
2,9
3,10
4,9
5,9
6,9
7,9
8,1
8,0
8,4
8,11
8,12
8,13
8,14
8,15
9,1
9,5
9,0
9,16
10,2
10,0
10,1
11,9
12,9
13,9
14,9
15,1
15,17
15,18
15,19
15,3
16,1
16,20
17,1
17,5
17,0
17,16
18,21
18,22
18,23
19,0
19,5
19,8
19,1
20,9
21,0
21,24
21,25
22,9
23,9
24,9
25,1
25,26
25,27
25,28
26,10
27,9
28,9
29,9
30,0
30,29
30,30
30,1
30,31
31,9
32,1
32,0
33,0
33,1
34,32
34,33
34,34
34,35
34,36
34,37
34,38
35,9
36,1
36,39
37,1
37,40
37,41
37,42
37,43
37,44
37,45
38,5
38,1
38,0
39,9
40,5
40,0
41,46
41,47
41,48
41,49
41,5
41,0
41,1
42,8
42,50
42,1
42,0
42,51
42,52
42,49
43,9
44,0
44,53
44,54
44,1
44,3
44,55
44,56
44,23
44,57
44,58
44,19
44,59
44,60
45,46
45,47
45,48
45,49
46,9
47,9
48,9
49,9
50,49
50,61
50,62
50,53
50,0
50,63
50,32
50,20
50,64
50,7
50,1
51,9
52,2
52,0
52,1
53,0
53,1
53,2
53,3
53,4
54,9
55,9
56,9
57,4
57,0
57,51
57,45
57,29
57,30
57,2
57,20
57,65
57,66
58,67
58,68
58,69
58,29
58,30
